,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,date,capacity,turnover,openprice,highprice,lowprice,close,change,transcation,timestamp,meanprice
0,0,0,0,0,0,1,2010-01-04,20083125,1132155005,56.45,56.65,56.05,56.5,0.05,1624,1262563200.0,56.349999999999994
1,1,1,1,1,1,2,2010-01-05,16453854,932015376,56.8,56.9,56.15,56.5,0.0,1866,1262649600.0,56.525
2,2,2,2,2,2,3,2010-01-06,19012172,1087143829,56.5,57.75,56.5,57.55,1.05,2958,1262736000.0,57.125
3,3,3,3,3,3,4,2010-01-07,14110575,814344344,57.6,58.15,57.3,57.4,-0.15,1846,1262822400.0,57.724999999999994
4,4,4,4,4,4,5,2010-01-08,11342752,651830965,57.3,57.75,57.05,57.75,0.35,1493,1262908800.0,57.4
5,5,5,5,5,5,6,2010-01-11,11581081,670025579,57.1,58.05,57.1,57.9,0.15,1636,1263168000.0,57.575
6,6,6,6,6,6,7,2010-01-12,7306217,420473484,57.55,57.85,57.25,57.6,-0.3,1329,1263254400.0,57.55
7,7,7,7,7,7,8,2010-01-13,16686518,948986977,57.05,57.15,56.7,56.75,-0.85,2021,1263340800.0,56.925
8,8,8,8,8,8,9,2010-01-14,9978365,570406499,56.8,57.6,56.8,57.45,0.7,1208,1263427200.0,57.2
9,9,9,9,9,9,10,2010-01-15,8425543,485743844,57.35,57.95,57.35,57.8,0.35,1020,1263513600.0,57.650000000000006
10,10,10,10,10,10,11,2010-01-18,5019674,288586818,57.45,57.7,57.3,57.5,-0.3,767,1263772800.0,57.5
11,11,11,11,11,11,12,2010-01-19,6724054,382797005,57.5,57.7,56.5,56.75,-0.75,1461,1263859200.0,57.1
12,12,12,12,12,12,13,2010-01-20,23397890,1318003114,56.8,56.95,56.1,56.4,-0.35,1627,1263945600.0,56.525000000000006
13,13,13,13,13,13,14,2010-01-21,13862156,776395581,56.15,56.4,55.75,55.95,-0.45,1880,1264032000.0,56.075
14,14,14,14,14,14,15,2010-01-22,29477562,1612081382,55.2,55.2,54.35,54.4,-1.55,3929,1264118400.0,54.775000000000006
15,15,15,15,15,15,16,2010-01-25,12845252,695785374,53.95,54.45,53.8,54.2,-0.2,2147,1264377600.0,54.125
16,16,16,16,16,16,17,2010-01-26,26395774,1416284559,54.15,54.55,52.75,52.95,-1.25,4558,1264464000.0,53.65
17,17,17,17,17,17,18,2010-01-27,14855839,787198926,52.95,53.3,52.7,52.9,-0.05,2182,1264550400.0,53.0
18,18,18,18,18,18,19,2010-01-28,12622891,676089714,53.1,54.2,53.1,54.05,1.15,1822,1264636800.0,53.650000000000006
19,19,19,19,19,19,20,2010-01-29,13799786,727944433,52.95,53.25,52.2,53.0,-1.05,2804,1264723200.0,52.725
20,20,20,20,20,20,21,2010-02-01,19637117,1030361997,53.15,53.2,51.95,52.4,-0.6,2590,1264982400.0,52.575
21,21,21,21,21,21,22,2010-02-02,11987878,625747966,52.95,52.95,51.6,51.85,-0.55,2350,1265068800.0,52.275000000000006
22,22,22,22,22,22,23,2010-02-03,13598236,714184048,52.1,52.8,52.05,52.75,0.9,1744,1265155200.0,52.425
23,23,23,23,23,23,24,2010-02-04,5940528,312541875,52.75,52.85,52.35,52.55,-0.2,982,1265241600.0,52.6
24,24,24,24,24,24,25,2010-02-05,24216962,1231585083,51.25,51.3,50.5,50.75,-1.8,5321,1265328000.0,50.9
25,25,25,25,25,25,26,2010-02-06,20632533,1049372801,50.8,51.3,50.3,51.2,0.45,2283,1265414400.0,50.8
26,26,26,26,26,26,27,2010-02-08,18165694,924930778,51.05,51.2,50.7,50.85,-0.35,1878,1265587200.0,50.95
27,27,27,27,27,27,28,2010-02-09,11269571,578396177,50.85,51.65,50.75,51.55,0.7,2082,1265673600.0,51.2
28,28,28,28,28,28,29,2010-02-10,11276655,586447115,51.95,52.25,51.7,52.1,0.55,2214,1265760000.0,51.975
29,29,29,29,29,29,30,2010-02-22,11224937,594117801,53.05,53.15,52.6,52.6,0.5,2098,1266796800.0,52.875
30,30,30,30,30,30,31,2010-02-23,9598427,504580432,52.6,52.75,52.2,52.6,0.0,1240,1266883200.0,52.475
31,31,31,31,31,31,32,2010-02-24,11037905,577819651,52.15,52.55,52.15,52.25,-0.35,1024,1266969600.0,52.349999999999994
32,32,32,32,32,32,33,2010-02-25,20470988,1062022326,52.25,52.3,51.35,51.65,-0.6,2193,1267056000.0,51.825
33,33,33,33,33,33,34,2010-02-26,9391284,483837797,51.65,51.75,51.2,51.55,-0.1,1366,1267142400.0,51.475
34,34,34,34,34,34,35,2010-03-01,13647130,715419506,51.5,52.95,51.5,52.8,1.25,2066,1267401600.0,52.225
35,35,35,35,35,35,36,2010-03-02,9997438,528112268,52.75,53.1,52.55,52.65,-0.15,1225,1267488000.0,52.825
36,36,36,36,36,36,37,2010-03-03,8764746,462426932,52.7,53.1,52.5,52.65,0.0,1041,1267574400.0,52.8
37,37,37,37,37,37,38,2010-03-04,8149453,426373974,52.75,52.9,51.8,52.2,-0.45,1295,1267660800.0,52.349999999999994
